title,type,tmdb_id,movie_runtime_minutes,episodes_total,total_seasons,episode_run_time,tv_minutes_total,rating_stars
Talladega Nights: The Ballad of Ricky Bobby,Movie,9718.0,108.0,,,,,6.366
The American,Movie,27579.0,104.0,,,,,5.967
The Best of Enemies,Movie,67377.0,104.0,,,,,6.9
The Game,Movie,2649.0,129.0,,,,,7.567
The Karate Kid,Movie,38575.0,140.0,,,,,6.565
The Karate Kid Part II,Movie,8856.0,113.0,,,,,6.332
The Karate Kid Part III,Movie,10495.0,112.0,,,,,5.921
The Life of David Gale,Movie,11615.0,130.0,,,,,7.432
The Long Riders,Movie,14729.0,99.0,,,,,6.6
The Queen,Movie,1165.0,103.0,,,,,6.949
The Strangers,Movie,10665.0,86.0,,,,,6.1
The Sum of All Fears,Movie,4614.0,124.0,,,,,6.4
The Tourist,Movie,37710.0,103.0,,,,,6.181
Underworld,Movie,277.0,122.0,,,,,6.839
Underworld: Awakening,Movie,52520.0,88.0,,,,,6.3
Underworld: Rise of the Lycans,Movie,12437.0,92.0,,,,,6.5
Voiceless,Movie,401032.0,107.0,,,,,2.5
What Dreams May Come,Movie,12159.0,113.0,,,,,7.2
Why Do Fools Fall in Love,Movie,46702.0,116.0,,,,,6.3
Working Title,Movie,461220.0,8.0,,,,,1.0
America: The Motion Picture,Movie,739542.0,97.0,,,,,5.7
Deranged,Movie,39844.0,83.0,,,,,5.8
Lying and Stealing,Movie,509874.0,100.0,,,,,5.9
Mommy Issues,Movie,826888.0,89.0,,,,,2.5
Prime Time,Movie,118281.0,93.0,,,,,5.2
A Way Back Home,Movie,845616.0,82.0,,,,,3.0
Killing Them Softly,Movie,64689.0,97.0,,,,,6.027
Wanted,Movie,8909.0,110.0,,,,,6.52
Into the Wind,Movie,54681.0,53.0,,,,,5.8
Wonder Boy,Movie,639947.0,99.0,,,,,6.7
Here Comes the Rain,Movie,57301.0,100.0,,,,,0.0
The Ice Road,Movie,646207.0,108.0,,,,,6.782
Sisters on Track,Movie,816518.0,96.0,,,,,7.3
The Seventh Day,Movie,645856.0,87.0,,,,,5.2
Good on Paper,Movie,823461.0,92.0,,,,,5.6
Murder by the Coast,Movie,830645.0,88.0,,,,,6.4
The House of Flowers: The Movie,Movie,833971.0,86.0,,,,,8.0
Broken,Movie,109584.0,91.0,,,,,6.9
O Vendedor de Sonhos,Movie,418896.0,96.0,,,,,6.627
Osuofia in London,Movie,192830.0,84.0,,,,,5.5
Osuofia in London II,Movie,,,,,,,
#Selfie,Movie,317467.0,123.0,,,,,6.2
#Selfie 69,Movie,432167.0,116.0,,,,,6.527
Love Is a Story,Movie,499902.0,107.0,,,,,7.0
Mobile Suit Gundam II: Soldiers of Sorrow,Movie,39229.0,135.0,,,,,7.175
Mobile Suit Gundam III: Encounters in Space,Movie,39230.0,140.0,,,,,7.44
Mobile Suit Gundam: Char's Counterattack,Movie,16157.0,120.0,,,,,7.1
A Family,Movie,1359694.0,0.0,,,,,0.0
Fatherhood,Movie,607259.0,109.0,,,,,7.5
Jagame Thandhiram,Movie,656113.0,158.0,,,,,5.6
Kambili: The Whole 30 Yards,Movie,842199.0,140.0,,,,,2.0
